,tweet
140,"@NoRestrictions @samthewiz @SamBraslow I mean the AAPS also opposes vaccinations, believes there is a causal linkage between abortion and breast cancer (there is no credible link to suggest one), and that global warming is beneficial to mankind. To state that their views are controversial is a bit of an understatement"
141,"Dear Boris,
Try Amazon Prime, next day delivery. Only £79 a year. 
#COVID19 #vaccinations"
142,The #COVID19 vaccinations cannot be undone. In this new completely fake book I’m writing there is a Microsoft Patent that Harnesses Human Body Activity Data 2020060606. And I’m joking when I say that RNA and nano particles can be recognized by Artificial Intelligences/tracers.
143,And here I thought ⁦@CNN⁩ ⁦@CNNPolitics⁩ and self-righteous fake ⁦@jaketapper⁩ had been reporting this past week that vaccinations were not moving out to the people who need them ⁦@KTAR923⁩? https://t.co/cubLAIrUqC
144,"@Jennyjo2206 Hey no one said the vaccines could go bad ? What the fuck Doug , hire a couple more retired army guys. @fordnation #fake #vaccinations #FordfailedOntario"
145,"@MattHancock @UniofOxford @AstraZeneca Yes, I'm sure nobody is happier than you Matt, you may even squeeze out another fake tear. You'll be able to wipe those away with all the money you and your ilk will make from the chaos your incompetence has caused.#lockdown #COVID19 #vaccinations"
146,"#Covid India TV’s Rajat Sharma falsely claims 190 countries pre-book India-made Covaxin. #vaccinations 
@RajatSharmaLive should be considered as merely a member of notorious IT cell of which more than 90% contents are fake.

https://t.co/80c4XJjgp8"
147,"As I was on way to grab a coffee — yes, we have a fake lockdown where businesses are implementing “ultra-short-distance delivery” instead of takeout — I started thinking what the day after vaccinations could look like. 1/"
148,"I am observing fake news bots cropping up on a variety of topics: COVID-19, vaccinations, global lockdowns, celebrity news, etc."
149,@lahlouuuu1 La ligne éditoriale de BFM c'est la droite ils sont à fond derrière Macron et tous les médias sont unanimes là-dessus y'a vraiment eu que 500 vaccinations en France c'est pas du fake mdrr
150,"Everyday feels more bizarre than last day. Another #nationallockdown #lockdownuk in the #NewYear2021 like really!? The 😷 #vaccinations misinformation, fake news, all the lies just gives me the #January #Blues https://t.co/vyRL1Fb013"
151,@breakingmkts All effin fake vaccinations. Trump is right.
152,"Vaccine is need of every Indian. It is must for India as #COVID19 has already destroy so much

So, pls don't spread fake news just for ur fake propaganda.
#StopVaccinePolitics 
#Covaxine #vaccinations"
153,"@amarprasadreddy @sudhirchaudhary is my favourite anchor. I never missed his prime time show #DNA. Today's episode was very informative on #vaccinations which busted the fake narrative of opposition trying to create bad environment on #SwadeshiVaccine. I trust our scientists.

#TrustYourVaccine"
154,"Sabko pata hai ki @yadavakhilesh anpadh hai. Ab pata chala @Jairam_Ramesh aur fake English teacher @ShashiTharoor BHI ussi school main padhe hain! Padhe-likhe chut**ye! 
@INCIndia @BJP4India @amitmalviya #Corona #CoronaVaccine #VaccineWar #vaccinations #StopVaccinePolitics"
155,"Petit rappel puisqu'on nous ressors à l'occasion de la campagne de #vaccinations les fake news qu'on nous avait sorti il y a des mois :
- la France avait l'un des plus grand stocks de masque au monde
- le gouvernement n'a jamais dit que les masque sont inutiles."
156,@aman_toms People should be cautious about fake news and disinformation on #vaccinations.
157,"If it’s a full lockdown then close the borders, no flights. No cunt in no cunt out. Control the virus in the circumstances we have until the vaccinations are rolled out. But naw this a fake lockdown hokey kokey that’s just gonny be never-ending untill it’s dealt with correctly. https://t.co/8JQmr5XDi2"
158,"This morning, my friend sent me this TikTok video (https://t.co/0Xg7sQyGrQ) claiming we're being played with fake publicized vaccinations of public figures. A little check found that this video was posted on YouTube in April (https://t.co/V5BGFI64Ma). 2/"
159,WTAF? This bitch doesn't even pretend to push the plunger. How many more of these fake vaccinations do we have to see before you get the fcking picture? https://t.co/f8kmiOqbR6
160,"Is anyone else tired of FLORIDA AND TEXAS WHINNING ABOUT THE COVID VACCINATIONS NOT SUITING THEM?  F### THEM!  THEY'RE IMPEACHED FAKE PRESIDENT TRUMP'S MAGA ZOMBIES,  THEY VOTED FOR HIM, SUCKS FOR THEM.😷😷😷😷"
161,@thehill Fake. The nurse retracted the needle against the arm of the sofa. When in history have so many vaccinations been televised?! Never. Why now? Why the show? And why the continuous fake syringes?
162,"Fake . Pas morte 24heures mais trois jours après . Et savez-vous, même les vaccinés peuvent mourir d’autres causes ! Plus de 3 millions de vaccinations dans le monde, et moins de cinq cas d’accidents graves. Le vaccin #anticovid est un des médicaments les plus sûrs au monde ! https://t.co/OFXEfhgZRa"
163,"Thank god @MayorofLondon @SadiqKhan is talking about #OxfordVaccine rollout in London and not @MattHancock, otherwise we would’ve had to witness part two of Hancock fake crying again and this time on @SkyNews. #COVID19 #CovidVaccine #coronavirus #vaccinations #lockdownuk"
164,"Eww. I had a covid denier ask for a humiliation session (he said covid is fake, caused by 5g &amp; that the vaccinations are hiding tracking devices)

I told him to take a look at his life &amp; he'll be quite well humiliated. Especially after he voted for Cheeto face twice! 

BLOCKED 👿"
165,@Hans12967063 Stop spreading BS &amp; get real. China has started vaccinations long before any other country. Underhanded dutch people/ Netherlanders fake news. https://t.co/er0CvuBJ5X
166,"@TODAYshow @KerryNBC Says the gaslighting fake media...A MIRACLE if a vaccine avail. In 2020...Meanwhile almost 5,000,000 vaccinations… You know for that .0004% really affected 🙄🙄"
167,"@show_danie @BBCBreakfast @BBCBusiness You're right, Daniel. All nurses across the country are in a mass underground plot to fake vaccinations and secretly microchip us so the government can track us at all times! Think of the amazing benefits it would have!"
168,Did @MattHancock shed fake tears of joy at the first dose of the #OxfordVaccine being administered this morning? #COVID19 #nationallockdown #vaccinations #VaccineStrategy(or lack of!)
169,"@TVMohandasPai @rajamaka @ShekharGupta @ARanganathan72 @drharshvardhan @RMantri @anuraag_saxena @PMOIndia @APanagariya @TimesNow We Don't TRUST FAKE journalist Like Shekhar Gupta, Gupta always Spread Unnecessary FAKE Malacious Propganda News Against INDIA and PM Modi, Shekhar Gupta has lost his Credibility as a Journalist long time Ago @JhaSanjay @gauravbh @sambitswaraj @SudhanshuTrived #vaccinations"
170,"@DIVIZIO1 @EmmanuelMacron Un Monsieur vaccin qui disparaît littéralement des radars, un exécutif qui a peur de prendre des décisions... Je pense qu'on a là des preuves suffisantes que personne ne veut se mouiller dans cette histoire, et que ces vaccins semblent très douteux...
#vaccinations"
171,okinawa is a joke with tamaki and his fake virus as the cases are from business visitors from other countries as tamaki allows it. the military has not recorded cases because the military has begun covid vaccinations as of december 29 2020. tamaki refuses to push for the vaccine
172,"Even if they and their loved ones, parliament &amp; ministers, take the vaccine first,  Do you think they will take the real actual vaccine?

I dont think so!

They will just fool the whole world with fake live vaccinations!

#cyril #level5 #COVID19 #VaccineforSouthAfrica https://t.co/ACLo9rLshS"
173,"@RReichstadt""On a clairement franchi un palier en matière de complotisme"" 
Antivax, Perronne, Wonner, QAnon, France-Soir... Le directeur de Conspiracy Watch analyse ""la fièvre"" historique de conspirationnisme qui aura marqué 2020.#vaccinations
https://t.co/EoK78FGjx3"
174,@JhaSanjay Shameless Congress Party Spreading Unnecessary FAKE Malacious Propganda News on COVAXIN vaccine #Covaxine #vaccinations #Covaxin #mondaythoughts #BREAKING #farmersrprotest
175,"@PeterPi93857672 @AdvoBarryRoux Hey this is scary stuff I guess we will never overcome it if Banks, Schools, Clinics and  shops etc will require one to be vaccinated. Kodwa again in SA we will have fake vaccinations proof"
176,How fake accounts promote vaccinations in the name of billionaires and their medico-fascists: https://t.co/XCR3RmBAwx
177,Vaccinations cause lizard-morphing! Don’t vaccinate! Scientology is the only true science! The New York Times is a conspiracy of lies--just fake news pies!
178,Don’t forget the PA rejected help with vaccinations from Israel before you tweet fake news and that from the Oslo Accords the PA are responsible for vaccinations in their territory =] https://t.co/Qvc4rRylon
179,"#vaccinations 2/10. Faisant preuve de leur dynamisme habituel, les complotistes ont produit de nouveaux fakes, partagés par des démagogues.
Vaccination : infirmières décédées, Mauricette, fausses seringues… ces fake news qui se propagent https://t.co/mvmFzff9zl via @le_Parisien"
180,"Vous pensiez avoir tout vu et tout entendu avec ce gvt d'incompétents ? Et bien c'est pas fini ! Le Monsieur vaccin semble obsolète, donc ils ont décidé que la stratégie vaccinale reposerait sur un tirage au sort ! Et pq pas au chifoumi tant que vous y êtes ? 
😂🤣
#vaccinations"
181,"Who remembers when the Chinese embassy in Houston were suspiciously burning ""documents"" (fake ballots) ... memberberries remember  #ImpeachTrump #SeditionHasConsequences #MAGA #vaccinations #TheGreatAwakeningWorldwide

https://t.co/1fcurk7zdW"
182,"@jegrifff @TheGoosecast He's behind all the fake data and pushing mandatory vaccinations for Americans.

Yeah.... Mmmmmm... but you don't listen to him. 🤣🤣

La la la I'm not listening la la la not listening. https://t.co/5IsY5wRcgf"
183,"Fake lion prank dogs 😂😂 So Funny

#정인아_미안해 #ImpeachTrump #CHEMCI #ResignKenney #25X25 #vaccinations #BillsMafia #BB14 #GBvsCHI #DallasCowboys #COVID19 #VibesWithErica #nationallockdown #sundayvibes 
https://t.co/Zv02NmTyoT"
184,@Tilgate_FGreen With respect it's not fake news. True it hopefully will be a rare occurrence as efficacy is not known. But...they will allow mixed vaccinations in the way stated.
185,"Non, c'est une fake news??😱
Après les échecs, #tests, masques, et vaccins, on touche le fond!
#vaccinations #coronavirus https://t.co/Ems8PLb3tq"
186,@tumegonfle @libe Il y a eu 10millions de vaccinations à travers le monde déjà. On le saurait s il y avait des troubles. Les anti-vax et autres complotistes inventeront des tas de Fake news . Qu importe faut avancer maintenant
187,"Fact: @realDonaldTrump LOST and the #Coronavirus taking over 350,000 American citizens is NOT fake news! #WearAMask #vaccinations"
188,"Instead of accelerating vaccinations and ending this pandemic, the Governor announced strict criminal penalties for vaccine providers who give shots ahead of time, and additional bureaucratic hoops for you, the person who wants nothing more than to be free from this virus. (5/7)"
189,"@SenSchumer So as long as you are the one running the SCOREBOARD 

Despite minimal REAL EARNED points ie real votes

You can click the scoring device and put FAKE POINTS on the board and “win” the game?!?

NOPE 👎🏻 ✋🏾 🛑 
#ElectionFraud 
#1776Again
#WeThePeople
#ResignKenney
#vaccinations"
190,"Les futurs vaccins contre le Covid-19 sont-ils sûrs ?
#COVID19 #coronavirus #vaccins #vaccinations #JeMeFaisVacciner

https://t.co/VJo1dY07Au"
191,"@ZeezoTeezo @YaqutAzraq Fake news. Palestinian prisoners are not in the first wave of vaccinations. Over 60 &amp; at-risk groups with high risk of exposure, teachers, first responders, prison staff, IDF, etc. then gen Israelis incl prisoners. All will be vaccinated but prisoners aren't the top of the list"
192,"2020 est-elle la pire année de l'histoire ? 
#vaccinations #COVID19 #Histoire #coronavirus #CouvreFeu
https://t.co/hQj8hOL9Uu"
193,"@SenatorRomney Great, do it televised, with the cap off of the needle and where we can actually see it puncture your skin. I want to see you injected without having any room for doubt that your being vaccinated never took place. I’ve seen too many videos of “fake for the camera” vaccinations."
194,The PA claims it will get their vaccinations from Russia.Anything that the Guardian publishes regarding Israel will ultimately be fake news. https://t.co/faTecglDAX
195,What a pile of💩💩💩.Palestinians turned down the Israeli vaccination in favor of receiving the vaccinations from Russia.If it comes from the British Guardian you can be sure it;s fake news against Israel. https://t.co/8j8wZEsUfY
196,"@Chickpea200 @PatWilliams1944 Really, all I saw was Johnson doing his usual act of wafflery, didn't have a clue about proposed vaccinations, hadn't read a report from last July regarding the mutation of the (fake) virus, the only floor that was wiped was the studio floor, mopping up Johnson's sweat."
197,@MSNBC. Is asking why won't medical people take the vaccine? Maybe because you scum bags talked shit about it for the last 10 months. You reap what you sew. Don't take the vaccine it will hurt you more than the fake flu. #vaccinations #CovidVaccine #Covid
198,So twitter is blocking any kind of announcement about fake vaccinations
199,Cette vidéo doit devenir le seul est unique vaccin contre cette Fake épidémie . #vaccins #COVID19 #vaccinations https://t.co/1bqxkj5uyl
200,"@indiaAnkita First of all the price tag you shared  is fake, vaccinations is free in both US and UK, as a matter of fact in most countries vaccination is free"
